experience,job_role,location,salary
4,Web Developer,Delhi,45942
3,Data Scientist,Bangalore,72848
6,Web Developer,Delhi,58125
8,Web Developer,Bangalore,66774
7,Full Stack Developer,Mumbai,83900
0,Mobile App Developer,Delhi,36039
8,DevOps Engineer,Mumbai,110742
6,Machine Learning Engineer,Mumbai,104136
6,Mobile App Developer,Hyderabad,62684
4,Cloud Engineer,Bangalore,93000
11,Mobile App Developer,Chennai,80899
7,Data Scientist,Chennai,86073
2,Backend Developer,Hyderabad,46898
1,Machine Learning Engineer,Chennai,52123
12,Machine Learning Engineer,Hyderabad,146917
2,Mobile App Developer,Hyderabad,47042
11,Software Engineer,Mumbai,93989
1,Machine Learning Engineer,Pune,58341
7,Full Stack Developer,Chennai,73747
2,UI/UX Designer,Pune,33864
7,Mobile App Developer,Mumbai,72734
0,Backend Developer,Delhi,35932
5,Web Developer,Mumbai,55152
1,Mobile App Developer,Delhi,39590
11,Cloud Engineer,Bangalore,150513
4,Backend Developer,Mumbai,61009
7,Machine Learning Engineer,Bangalore,113342
2,Web Developer,Hyderabad,37901
3,UI/UX Designer,Chennai,36101
5,Machine Learning Engineer,Hyderabad,87781
0,Machine Learning Engineer,Mumbai,55025
0,Mobile App Developer,Delhi,32686
2,Machine Learning Engineer,Chennai,61625
2,Data Scientist,Delhi,60516
1,DevOps Engineer,Bangalore,58536
12,UI/UX Designer,Pune,77212
8,Cloud Engineer,Chennai,105314
5,UI/UX Designer,Bangalore,56661
7,Mobile App Developer,Pune,65362
9,Backend Developer,Chennai,80091
11,Cloud Engineer,Pune,132723
7,UI/UX Designer,Pune,54236
8,Backend Developer,Delhi,86050
7,Web Developer,Chennai,56569
1,Backend Developer,Bangalore,46489
7,Data Scientist,Mumbai,100786
4,Data Scientist,Hyderabad,73428
12,Web Developer,Pune,75399
6,Cloud Engineer,Mumbai,104239
8,Backend Developer,Bangalore,87686
8,Backend Developer,Bangalore,88928
4,Full Stack Developer,Chennai,60945
4,Machine Learning Engineer,Chennai,78343
12,Cloud Engineer,Mumbai,152718
3,Web Developer,Delhi,44437
3,Cloud Engineer,Chennai,67352
8,Software Engineer,Chennai,70238
10,Data Scientist,Chennai,102287
8,Software Engineer,Pune,71921
11,Cloud Engineer,Delhi,141524
1,Web Developer,Bangalore,34024
0,Software Engineer,Mumbai,37531
1,UI/UX Designer,Delhi,35844
3,Software Engineer,Mumbai,54031
3,Web Developer,Bangalore,45586
0,Backend Developer,Delhi,38761
5,Web Developer,Delhi,48701
10,Software Engineer,Bangalore,94022
12,Mobile App Developer,Mumbai,102870
7,Data Scientist,Bangalore,104087
1,Backend Developer,Hyderabad,42271
4,Mobile App Developer,Chennai,48803
11,DevOps Engineer,Mumbai,131662
12,Backend Developer,Delhi,105578
6,DevOps Engineer,Delhi,92160
9,Full Stack Developer,Hyderabad,91730
3,Machine Learning Engineer,Delhi,74142
4,Machine Learning Engineer,Bangalore,91312
10,Mobile App Developer,Hyderabad,84304
0,Full Stack Developer,Delhi,40689
1,DevOps Engineer,Delhi,57765
10,Backend Developer,Bangalore,97101
6,UI/UX Designer,Chennai,49691
9,Data Scientist,Mumbai,112248
2,Cloud Engineer,Delhi,67072
11,DevOps Engineer,Mumbai,133685
7,Cloud Engineer,Mumbai,113220
12,Cloud Engineer,Pune,140163
5,Data Scientist,Bangalore,86462
7,Machine Learning Engineer,Pune,98516
0,Backend Developer,Hyderabad,37634
1,UI/UX Designer,Chennai,31875
6,Cloud Engineer,Pune,91546
0,UI/UX Designer,Chennai,24842
12,Cloud Engineer,Delhi,147008
4,Software Engineer,Pune,52694
5,Software Engineer,Chennai,55912
2,Data Scientist,Hyderabad,58601
7,Software Engineer,Mumbai,73554
0,Software Engineer,Delhi,36397
10,Data Scientist,Delhi,118207
3,Web Developer,Chennai,35274
10,UI/UX Designer,Chennai,65637
3,Software Engineer,Hyderabad,47480
1,Machine Learning Engineer,Bangalore,67344
9,Cloud Engineer,Hyderabad,122821
4,Cloud Engineer,Bangalore,92560
9,Machine Learning Engineer,Chennai,112345
9,Mobile App Developer,Mumbai,86876
12,Data Scientist,Bangalore,139490
7,Software Engineer,Pune,69158
4,Backend Developer,Pune,54340
1,Data Scientist,Pune,48562
8,Data Scientist,Chennai,94076
11,Full Stack Developer,Hyderabad,105759
6,Machine Learning Engineer,Mumbai,100443
8,Data Scientist,Mumbai,105782
0,Cloud Engineer,Pune,52018
4,Backend Developer,Mumbai,60919
7,Cloud Engineer,Delhi,111293
4,Mobile App Developer,Hyderabad,54770
6,Backend Developer,Mumbai,74610
2,Machine Learning Engineer,Pune,65069
5,Web Developer,Hyderabad,51351
10,Full Stack Developer,Mumbai,104415
0,Mobile App Developer,Hyderabad,36110
3,DevOps Engineer,Bangalore,73380
2,Data Scientist,Mumbai,59583
8,DevOps Engineer,Hyderabad,106731
1,Machine Learning Engineer,Chennai,55418
5,Data Scientist,Chennai,73845
4,Mobile App Developer,Mumbai,57030
9,Software Engineer,Delhi,85572
1,Mobile App Developer,Hyderabad,42236
5,Data Scientist,Delhi,81719
10,Web Developer,Bangalore,80737
3,Machine Learning Engineer,Pune,70054
7,Software Engineer,Bangalore,75374
5,Mobile App Developer,Hyderabad,63197
1,Software Engineer,Bangalore,45468
3,UI/UX Designer,Mumbai,40561
4,Data Scientist,Mumbai,76438
11,Machine Learning Engineer,Delhi,141183
6,Full Stack Developer,Chennai,69596
4,Software Engineer,Chennai,48928
3,Cloud Engineer,Chennai,70147
5,Web Developer,Hyderabad,51829
9,Web Developer,Chennai,63808
6,DevOps Engineer,Mumbai,93868
5,Machine Learning Engineer,Delhi,93405
7,Backend Developer,Bangalore,82425
8,Full Stack Developer,Mumbai,93499
9,Full Stack Developer,Hyderabad,97566
8,Cloud Engineer,Pune,107338
10,Backend Developer,Hyderabad,93270
4,Machine Learning Engineer,Chennai,75063
10,Software Engineer,Chennai,76067
1,UI/UX Designer,Hyderabad,34216
4,Software Engineer,Mumbai,56592
10,DevOps Engineer,Bangalore,130333
5,DevOps Engineer,Mumbai,90486
11,Cloud Engineer,Hyderabad,138240
1,Backend Developer,Pune,39432
9,UI/UX Designer,Hyderabad,68233
11,Full Stack Developer,Hyderabad,103796
12,Machine Learning Engineer,Mumbai,149406
7,UI/UX Designer,Mumbai,60969
9,Backend Developer,Chennai,80747
12,Web Developer,Delhi,82495
10,Cloud Engineer,Delhi,133186
12,Web Developer,Delhi,82561
3,Backend Developer,Bangalore,56187
1,Machine Learning Engineer,Mumbai,64890
5,Data Scientist,Chennai,73201
9,Full Stack Developer,Mumbai,98284
7,Web Developer,Hyderabad,59940
5,Backend Developer,Pune,64393
11,Mobile App Developer,Chennai,81674
11,Full Stack Developer,Pune,104315
0,Web Developer,Pune,29541
12,Cloud Engineer,Mumbai,151596
5,Machine Learning Engineer,Chennai,84852
8,Mobile App Developer,Chennai,71709
10,Data Scientist,Bangalore,123225
8,Full Stack Developer,Bangalore,93295
4,Data Scientist,Pune,67509
0,Machine Learning Engineer,Bangalore,53566
0,UI/UX Designer,Delhi,30677
4,Full Stack Developer,Delhi,63159
3,Cloud Engineer,Chennai,67359
2,UI/UX Designer,Hyderabad,39604
12,Machine Learning Engineer,Bangalore,155379
10,Data Scientist,Hyderabad,117324
11,Backend Developer,Pune,91003
8,Cloud Engineer,Hyderabad,115409
7,Backend Developer,Delhi,79279
7,Cloud Engineer,Mumbai,112991
11,Software Engineer,Bangalore,102194
0,Full Stack Developer,Chennai,35713
9,Full Stack Developer,Delhi,96755
1,Web Developer,Chennai,29365
10,Cloud Engineer,Mumbai,132069
0,Data Scientist,Chennai,39406
10,Cloud Engineer,Pune,125491
11,Data Scientist,Hyderabad,122635
2,Web Developer,Bangalore,37813
9,Full Stack Developer,Pune,93203
3,Web Developer,Bangalore,46620
6,Full Stack Developer,Delhi,78388
3,Software Engineer,Bangalore,52801
9,Software Engineer,Pune,75646
10,Backend Developer,Pune,88356
5,Full Stack Developer,Pune,69533
12,UI/UX Designer,Mumbai,81430
8,Full Stack Developer,Bangalore,95042
12,Web Developer,Pune,76812
10,Cloud Engineer,Mumbai,136824
3,Full Stack Developer,Hyderabad,60401
11,Backend Developer,Mumbai,101479
0,Software Engineer,Pune,35142
3,Software Engineer,Pune,50487
11,Full Stack Developer,Pune,101363
8,Software Engineer,Bangalore,79579
3,Backend Developer,Hyderabad,54322
3,Web Developer,Chennai,36873
0,Software Engineer,Mumbai,38588
12,Cloud Engineer,Mumbai,153462
11,Software Engineer,Chennai,83455
1,Mobile App Developer,Hyderabad,40975
3,Data Scientist,Mumbai,72038
5,Machine Learning Engineer,Pune,83956
0,Software Engineer,Pune,35223
7,DevOps Engineer,Pune,92966
2,DevOps Engineer,Chennai,57106
12,UI/UX Designer,Chennai,73432
5,Data Scientist,Hyderabad,79997
1,Machine Learning Engineer,Mumbai,60558
3,Full Stack Developer,Mumbai,59931
12,Web Developer,Delhi,85436
0,Mobile App Developer,Hyderabad,34544
10,Mobile App Developer,Delhi,89717
0,Machine Learning Engineer,Hyderabad,52274
8,Backend Developer,Bangalore,90057
9,Machine Learning Engineer,Chennai,109395
10,Mobile App Developer,Chennai,77866
5,Data Scientist,Delhi,81600
12,Software Engineer,Delhi,98210
10,UI/UX Designer,Hyderabad,71559
4,Cloud Engineer,Bangalore,90189
6,Full Stack Developer,Chennai,69638
11,Web Developer,Delhi,76016
12,DevOps Engineer,Delhi,141385
9,Backend Developer,Mumbai,92974
1,Cloud Engineer,Pune,57551
8,Data Scientist,Mumbai,106175
8,Machine Learning Engineer,Hyderabad,111584
8,Mobile App Developer,Delhi,79152
1,DevOps Engineer,Mumbai,56129
10,Machine Learning Engineer,Delhi,135720
0,DevOps Engineer,Mumbai,51979
12,Machine Learning Engineer,Chennai,134275
9,Data Scientist,Mumbai,113920
5,UI/UX Designer,Pune,45171
11,Web Developer,Delhi,75478
4,Backend Developer,Mumbai,64113
8,Machine Learning Engineer,Pune,106159
11,Machine Learning Engineer,Pune,128278
12,Data Scientist,Chennai,115319
3,Backend Developer,Delhi,55538
5,Machine Learning Engineer,Bangalore,100347
3,Mobile App Developer,Chennai,47919
1,Machine Learning Engineer,Chennai,53169
4,Cloud Engineer,Hyderabad,85724
12,Machine Learning Engineer,Hyderabad,146902
5,Software Engineer,Pune,57150
9,Data Scientist,Delhi,109892
7,Full Stack Developer,Hyderabad,82896
4,Full Stack Developer,Hyderabad,65918
0,Web Developer,Bangalore,28715
2,Software Engineer,Hyderabad,42584
6,Full Stack Developer,Mumbai,82512
6,Web Developer,Mumbai,58112
8,Cloud Engineer,Pune,111756
4,Web Developer,Chennai,40167
8,Web Developer,Mumbai,66587
0,Web Developer,Delhi,32096
9,Software Engineer,Delhi,80602
5,DevOps Engineer,Mumbai,85356
6,Full Stack Developer,Pune,76093
2,Cloud Engineer,Delhi,71370
9,Mobile App Developer,Bangalore,88058
2,Web Developer,Hyderabad,37817
1,Web Developer,Hyderabad,33891
9,Web Developer,Chennai,63503
2,Full Stack Developer,Bangalore,58051
0,Full Stack Developer,Bangalore,44541
6,UI/UX Designer,Delhi,55010
10,Mobile App Developer,Chennai,81530
1,Software Engineer,Bangalore,43520
6,Data Scientist,Bangalore,96014
12,Mobile App Developer,Mumbai,100876
3,Data Scientist,Chennai,59505
10,Software Engineer,Delhi,90152
12,DevOps Engineer,Hyderabad,137496
8,UI/UX Designer,Pune,61227
1,UI/UX Designer,Pune,29758
5,Full Stack Developer,Bangalore,77453
9,Data Scientist,Chennai,101118
11,Machine Learning Engineer,Mumbai,145169
3,UI/UX Designer,Mumbai,41489
10,Data Scientist,Chennai,105645
2,Machine Learning Engineer,Pune,66473
1,Backend Developer,Bangalore,43355
8,Mobile App Developer,Chennai,67348
0,DevOps Engineer,Delhi,48026
12,Software Engineer,Pune,95324
0,Backend Developer,Hyderabad,34448
9,DevOps Engineer,Mumbai,120139
8,Data Scientist,Pune,98287
2,Data Scientist,Pune,57268
6,DevOps Engineer,Hyderabad,93882
12,Backend Developer,Bangalore,111455
12,Machine Learning Engineer,Bangalore,154548
0,DevOps Engineer,Pune,48909
10,Software Engineer,Delhi,89469
6,Web Developer,Delhi,55287
1,Cloud Engineer,Mumbai,59960
4,Mobile App Developer,Chennai,49612
12,Machine Learning Engineer,Delhi,147358
0,UI/UX Designer,Chennai,23755
11,Backend Developer,Chennai,91191
9,Backend Developer,Pune,79795
6,Data Scientist,Delhi,91544
4,Web Developer,Chennai,39687
12,Software Engineer,Pune,92164
1,Software Engineer,Hyderabad,42148
12,Backend Developer,Delhi,107691
9,Full Stack Developer,Bangalore,100145
1,Full Stack Developer,Chennai,44527
9,DevOps Engineer,Delhi,114820
0,Software Engineer,Hyderabad,34487
10,DevOps Engineer,Chennai,109467
6,Software Engineer,Pune,64324
3,UI/UX Designer,Pune,41060
0,Backend Developer,Hyderabad,38897
2,Cloud Engineer,Delhi,71743
1,Web Developer,Delhi,34601
5,Machine Learning Engineer,Chennai,79811
12,DevOps Engineer,Mumbai,143404
5,DevOps Engineer,Hyderabad,87163
7,Full Stack Developer,Hyderabad,79755
8,Mobile App Developer,Bangalore,84576
0,Web Developer,Pune,27569
0,Web Developer,Chennai,28950
2,Machine Learning Engineer,Chennai,59265
12,Software Engineer,Chennai,89747
6,Web Developer,Chennai,50572
7,Cloud Engineer,Mumbai,109783
1,Software Engineer,Chennai,34988
3,Machine Learning Engineer,Pune,73380
9,Full Stack Developer,Pune,89589
10,Full Stack Developer,Hyderabad,98736
1,Backend Developer,Delhi,45297
6,DevOps Engineer,Bangalore,97611
3,Full Stack Developer,Mumbai,63276
4,Full Stack Developer,Mumbai,64779
1,Full Stack Developer,Hyderabad,48309
10,Data Scientist,Pune,112229
11,Machine Learning Engineer,Mumbai,144572
1,Backend Developer,Delhi,43974
12,Backend Developer,Delhi,105713
3,Backend Developer,Pune,50130
8,Full Stack Developer,Pune,83486
9,UI/UX Designer,Hyderabad,64741
0,Data Scientist,Mumbai,47852
8,DevOps Engineer,Mumbai,108736
2,DevOps Engineer,Chennai,58468
7,Web Developer,Pune,56709
9,Software Engineer,Hyderabad,78233
6,Software Engineer,Delhi,66778
8,Web Developer,Delhi,64240
7,Machine Learning Engineer,Hyderabad,106314
10,Mobile App Developer,Bangalore,91999
6,Mobile App Developer,Pune,60907
5,Data Scientist,Chennai,71565
10,Backend Developer,Delhi,95959
8,Machine Learning Engineer,Chennai,104370
6,Software Engineer,Bangalore,69120
10,Web Developer,Delhi,73364
1,Cloud Engineer,Bangalore,66069
4,Mobile App Developer,Pune,55519
3,UI/UX Designer,Mumbai,44100
3,Cloud Engineer,Delhi,75576
6,Cloud Engineer,Pune,95149
10,Data Scientist,Hyderabad,114209
3,Backend Developer,Bangalore,56663
12,Cloud Engineer,Mumbai,149889
7,UI/UX Designer,Chennai,52314
1,Data Scientist,Delhi,55893
7,Web Developer,Chennai,52593
0,Software Engineer,Bangalore,35717
1,Mobile App Developer,Hyderabad,41693
1,Full Stack Developer,Delhi,50331
4,Software Engineer,Pune,51899
0,Software Engineer,Mumbai,34736
11,Full Stack Developer,Chennai,98918
11,Backend Developer,Bangalore,103789
8,Web Developer,Bangalore,67240
9,Full Stack Developer,Mumbai,97731
5,Web Developer,Chennai,44341
12,UI/UX Designer,Hyderabad,83419
12,Machine Learning Engineer,Hyderabad,147718
3,Web Developer,Chennai,36358
2,Cloud Engineer,Mumbai,69582
1,Full Stack Developer,Hyderabad,43367
3,Mobile App Developer,Hyderabad,51713
6,DevOps Engineer,Mumbai,96979
0,Full Stack Developer,Hyderabad,40539
2,Full Stack Developer,Hyderabad,52435
7,Web Developer,Hyderabad,57779
11,DevOps Engineer,Delhi,130648
7,DevOps Engineer,Mumbai,105731
4,Backend Developer,Pune,56321
5,Data Scientist,Delhi,84509
5,Data Scientist,Chennai,74778
5,UI/UX Designer,Pune,45919
7,Machine Learning Engineer,Chennai,97294
10,Data Scientist,Mumbai,118738
5,Full Stack Developer,Mumbai,72924
0,UI/UX Designer,Hyderabad,29507
9,Cloud Engineer,Bangalore,130979
1,Backend Developer,Pune,41717
5,Full Stack Developer,Mumbai,73917
12,UI/UX Designer,Delhi,85170
1,Data Scientist,Hyderabad,55559
6,Data Scientist,Mumbai,89306
0,Mobile App Developer,Mumbai,34278
0,Full Stack Developer,Hyderabad,39752
2,Backend Developer,Pune,44289
7,Software Engineer,Chennai,62092
0,Web Developer,Chennai,25640
12,DevOps Engineer,Hyderabad,134100
0,Full Stack Developer,Bangalore,43363
1,Full Stack Developer,Chennai,43926
12,Data Scientist,Pune,122883
6,Software Engineer,Bangalore,73101
9,Machine Learning Engineer,Delhi,124185
0,Data Scientist,Delhi,47819
0,Web Developer,Delhi,26555
5,Backend Developer,Bangalore,67042
6,Mobile App Developer,Delhi,69906
2,DevOps Engineer,Mumbai,62712
10,UI/UX Designer,Mumbai,77202
6,Cloud Engineer,Hyderabad,100435
3,Machine Learning Engineer,Bangalore,82002
11,Machine Learning Engineer,Hyderabad,139144
7,Web Developer,Delhi,58703
7,DevOps Engineer,Pune,95710
5,Machine Learning Engineer,Hyderabad,92065
7,Mobile App Developer,Mumbai,73345
10,UI/UX Designer,Chennai,63184
12,Software Engineer,Mumbai,99992
0,Web Developer,Bangalore,33775
8,Cloud Engineer,Mumbai,118980
0,Software Engineer,Chennai,32694
6,DevOps Engineer,Chennai,85249
2,Cloud Engineer,Pune,66596
9,DevOps Engineer,Mumbai,117328
4,Software Engineer,Pune,50618
1,DevOps Engineer,Pune,55817
1,Full Stack Developer,Hyderabad,47686
12,DevOps Engineer,Chennai,124679
4,Cloud Engineer,Pune,81776
10,Full Stack Developer,Chennai,89942
9,Cloud Engineer,Delhi,126782
1,Mobile App Developer,Delhi,43037
0,Software Engineer,Pune,32135
4,Full Stack Developer,Pune,62926
4,Backend Developer,Delhi,58870
10,Backend Developer,Pune,85447
3,Software Engineer,Pune,45946
3,Full Stack Developer,Mumbai,63588
4,Software Engineer,Delhi,58782
11,Full Stack Developer,Chennai,96682
11,Cloud Engineer,Delhi,138104
5,UI/UX Designer,Chennai,45443
11,Software Engineer,Bangalore,100529
4,DevOps Engineer,Chennai,70488
12,Full Stack Developer,Delhi,118588
10,Backend Developer,Hyderabad,94430
3,Machine Learning Engineer,Chennai,68848
1,Mobile App Developer,Delhi,39869
12,UI/UX Designer,Pune,78321
5,Full Stack Developer,Chennai,65005
11,Backend Developer,Hyderabad,98121
7,Software Engineer,Chennai,65382
12,UI/UX Designer,Chennai,74132
11,UI/UX Designer,Hyderabad,77828
1,Machine Learning Engineer,Hyderabad,60363
9,Web Developer,Bangalore,71220
5,Machine Learning Engineer,Delhi,95030
0,Machine Learning Engineer,Hyderabad,48962
10,Web Developer,Mumbai,74165
4,Software Engineer,Bangalore,60056
10,Mobile App Developer,Bangalore,92628
7,Cloud Engineer,Mumbai,111641
2,Machine Learning Engineer,Bangalore,74673
0,Machine Learning Engineer,Hyderabad,49089
11,UI/UX Designer,Hyderabad,73650
8,Software Engineer,Bangalore,81184
6,Mobile App Developer,Hyderabad,68440
11,Cloud Engineer,Mumbai,140165
9,UI/UX Designer,Bangalore,71583
6,Machine Learning Engineer,Pune,93569
1,Backend Developer,Mumbai,43606
8,Web Developer,Hyderabad,64558
7,Web Developer,Bangalore,64722
10,Machine Learning Engineer,Delhi,135278
6,Cloud Engineer,Pune,94546
5,Full Stack Developer,Chennai,66648
9,Full Stack Developer,Hyderabad,93611
6,DevOps Engineer,Chennai,86671
4,Full Stack Developer,Chennai,58747
1,DevOps Engineer,Pune,53773
0,DevOps Engineer,Chennai,45376
3,Backend Developer,Bangalore,57328
5,Backend Developer,Chennai,59728
4,Software Engineer,Mumbai,57710
5,DevOps Engineer,Pune,83369
11,Full Stack Developer,Delhi,108392
1,UI/UX Designer,Pune,33482
5,Software Engineer,Mumbai,60943
1,Full Stack Developer,Hyderabad,47654
0,Software Engineer,Bangalore,38711
2,UI/UX Designer,Mumbai,37441
3,UI/UX Designer,Bangalore,43878
8,Full Stack Developer,Mumbai,93958
6,Cloud Engineer,Delhi,100242
8,Full Stack Developer,Pune,87036
0,Software Engineer,Mumbai,37507
9,Machine Learning Engineer,Bangalore,133203
1,Software Engineer,Chennai,38744
6,Backend Developer,Mumbai,75608
8,Machine Learning Engineer,Mumbai,121577
2,Software Engineer,Delhi,47842
2,Machine Learning Engineer,Pune,64878
12,DevOps Engineer,Hyderabad,134784
3,DevOps Engineer,Delhi,72680
1,Software Engineer,Mumbai,40386
4,Mobile App Developer,Mumbai,59257
10,Data Scientist,Mumbai,119176
2,UI/UX Designer,Chennai,34415
1,Mobile App Developer,Mumbai,40692
8,UI/UX Designer,Hyderabad,62561
7,UI/UX Designer,Delhi,57512
11,DevOps Engineer,Mumbai,131946
1,Full Stack Developer,Mumbai,46973
2,Mobile App Developer,Mumbai,48733
1,DevOps Engineer,Bangalore,61846
12,DevOps Engineer,Delhi,136214
8,Mobile App Developer,Mumbai,81572
9,DevOps Engineer,Pune,110807
12,Backend Developer,Bangalore,114642
3,Data Scientist,Pune,64134
5,Data Scientist,Chennai,73550
5,Data Scientist,Hyderabad,80634
3,Software Engineer,Delhi,51378
9,Software Engineer,Mumbai,82191
4,Backend Developer,Hyderabad,59452
11,Full Stack Developer,Chennai,96320
8,Cloud Engineer,Pune,107334
6,DevOps Engineer,Delhi,92477
2,Mobile App Developer,Pune,44117
4,Software Engineer,Pune,50194
4,UI/UX Designer,Delhi,46763
3,DevOps Engineer,Chennai,66775
